,sku,system,real,diff
0,(禾美)靓虾王香软米2.5,8.0,0.0,8.0
1,(红色）新米红曼哈浓香泰国茉莉香米1*20,25.0,27.0,-2.0
2,(红色）新米红曼哈浓香泰国茉莉香米5,3.0,0.0,3.0
3,今西利富客酒店米15,439.0,369.0,70.0
4,喜之粮湖蟹卧田米10,1.0,129.0,-128.0
5,喜之粮湖蟹卧田米5*5,128.0,0.0,128.0
6,太粮良小町大米10,3856.0,1693.0,2163.0
7,太粮良谷纪臻选东北大米10*2,29.0,0.0,29.0
8,太粮靓虾王香软米1,19.0,0.0,19.0
9,太粮靓虾王香软米10,9358.0,9938.0,-580.0
10,太粮靓虾王香软米15,2143.0,2312.0,-169.0
11,太粮靓虾王香软米2.5,1.0,0.0,1.0
12,宫粥东北大米5*5,355.0,338.0,17.0
13,宫粥（凤鸣）贡香米2.5,10.0,0.0,10.0
14,宫粥（凤鸣）贡香米2.5*10,116.0,117.0,-1.0
15,小米0.4,30.0,9.0,21.0
16,御泰坊茉莉香米5,3.0,0.0,3.0
17,柬埔寨茉莉香米5,1.0,0.0,1.0
18,珍の原TL.GABA大米0.3,28.0,0.0,28.0
19,稻虾软米15,4239.0,4686.0,-447.0
20,米皇坊小农粘米10,1636.0,1637.0,-1.0
21,米皇坊小农粘米15,161.0,21.0,140.0
22,米皇坊小农粘米4,0.0,4.0,-4.0
23,米皇坊小农粘米4*6,146.0,145.0,1.0
24,米皇坊山水丝苗米5,2.0,0.0,2.0
25,米皇坊桂尊香软米10,77.0,64.0,13.0
26,米皇坊珍珠香米25,827.0,807.0,20.0
27,米皇坊珍珠香米5,1.0,0.0,1.0
28,米皇坊珍珠香米5*5,429.0,328.0,101.0
29,良谷纪（稻花香2号）5,1.0,0.0,1.0
30,荟京选靓虾王米10,204.0,232.0,-28.0
31,薏苡仁0.4,16.0,0.0,16.0
32,金太粮有机米2.5*5,77.0,40.0,37.0
33,金太粮油粘王2,10.0,0.0,10.0
34,金稻鱼太粮家乐米5,1.0,0.0,1.0
35,靓米皇丝苗米5*5,7.0,0.0,7.0
36,马坝银粘米5,4.0,0.0,4.0
37,马坝龙三星油粘米10,133.0,118.0,15.0
38,马坝龙五星油粘米10,784.0,847.0,-63.0
39,鸣象（尊桂）油粘米10,3240.0,933.0,2307.0
40,鸣象（尊桂）油粘米5,1.0,0.0,1.0
41,鹰嘴香中国香米10,212.0,306.0,-94.0
42,黄豆0.4*30,63.0,33.0,30.0
43,黑米0.4,20.0,10.0,10.0
44,（促销）散装太粮靓虾王15,1403.0,1123.0,280.0
45,（信鲜）靓虾王香软米1*25,25.0,16.0,9.0
46,（信鲜）靓虾王香软米10,1482.0,1481.0,1.0
47,（信鲜）靓虾王香软米2,5.0,0.0,5.0
48,（红香）靓虾王米15,1560.0,1559.0,1.0
49,（红香）靓虾王米5*5,2696.0,2697.0,-1.0
50,（西关）靓虾王米5,1.0,0.0,1.0
51,（靓虾）软米10,10106.0,9482.0,624.0
52,（鲜仔）五星丝苗米5,4.0,0.0,4.0
